epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1211.22,0.36691,0.28224,0.88014,0.9952,0.99178,0.99443,0.98124,0.21479,0.16333,0.80058,0.0089605,0.0089605,0.0089605
44,1239.3,0.36438,0.28028,0.87989,0.99616,0.99105,0.99438,0.98101,0.21859,0.16505,0.80161,0.00893575,0.00893575,0.00893575
45,1267.51,0.36113,0.27618,0.88042,0.99382,0.99052,0.99453,0.98116,0.2184,0.16392,0.80049,0.008911,0.008911,0.008911
46,1295.62,0.36452,0.28036,0.87864,0.99484,0.99044,0.99436,0.98119,0.21373,0.16188,0.79824,0.00888625,0.00888625,0.00888625
47,1323.73,0.36457,0.27875,0.88111,0.9946,0.99166,0.99462,0.98192,0.20896,0.15868,0.79684,0.0088615,0.0088615,0.0088615
48,1351.94,0.3629,0.28063,0.87932,0.99626,0.99063,0.9946,0.98057,0.21492,0.15988,0.79891,0.00883675,0.00883675,0.00883675
49,1380.03,0.36221,0.276,0.87973,0.99391,0.99082,0.9943,0.98117,0.21705,0.16156,0.80184,0.008812,0.008812,0.008812
50,1408.11,0.36446,0.27714,0.87904,0.99351,0.9898,0.99448,0.98223,0.21325,0.15899,0.79852,0.00878725,0.00878725,0.00878725
51,1436.31,0.36162,0.27319,0.87821,0.9964,0.99098,0.9946,0.98198,0.21151,0.15368,0.79762,0.0087625,0.0087625,0.0087625
52,1464.4,0.35997,0.27439,0.87978,0.99487,0.99181,0.99452,0.9828,0.20983,0.1552,0.79663,0.00873775,0.00873775,0.00873775
53,1492.48,0.35688,0.2702,0.87527,0.99453,0.99281,0.99467,0.98302,0.2121,0.15459,0.79676,0.008713,0.008713,0.008713
54,1520.68,0.35933,0.27393,0.87909,0.99647,0.99155,0.99467,0.98293,0.20836,0.15398,0.79644,0.00868825,0.00868825,0.00868825
55,1548.76,0.35719,0.27066,0.87658,0.99548,0.99141,0.99454,0.983,0.21003,0.15353,0.79683,0.0086635,0.0086635,0.0086635
56,1576.83,0.35589,0.27133,0.87599,0.99311,0.9928,0.99464,0.98331,0.2037,0.15232,0.79527,0.00863875,0.00863875,0.00863875
57,1605.02,0.35401,0.2674,0.87647,0.99514,0.99121,0.99465,0.98372,0.20641,0.15289,0.79463,0.008614,0.008614,0.008614
58,1633.06,0.35801,0.27076,0.87732,0.99376,0.99115,0.99467,0.98359,0.2077,0.15102,0.79382,0.00858925,0.00858925,0.00858925
59,1661.17,0.35673,0.26982,0.87596,0.99489,0.99235,0.99478,0.98358,0.20627,0.15158,0.79429,0.0085645,0.0085645,0.0085645
60,1689.4,0.35665,0.26558,0.87497,0.99438,0.99085,0.99458,0.98323,0.20266,0.14685,0.79279,0.00853975,0.00853975,0.00853975
61,1717.46,0.35249,0.26794,0.87418,0.99295,0.9907,0.99465,0.98364,0.20331,0.14875,0.79385,0.008515,0.008515,0.008515
62,1745.56,0.35454,0.2678,0.87704,0.99358,0.99191,0.99466,0.98439,0.20068,0.14856,0.79273,0.00849025,0.00849025,0.00849025
63,1773.76,0.35319,0.26654,0.87693,0.99746,0.98944,0.99468,0.98432,0.19949,0.14639,0.79139,0.0084655,0.0084655,0.0084655
64,1801.84,0.34886,0.26078,0.87296,0.99625,0.99022,0.99472,0.98419,0.20063,0.14536,0.79202,0.00844075,0.00844075,0.00844075
65,1829.91,0.35153,0.26193,0.87296,0.99557,0.98941,0.99461,0.98394,inf,0.14431,0.79334,0.008416,0.008416,0.008416
66,1858.07,0.34792,0.26035,0.87256,0.9934,0.99318,0.99466,0.98416,0.20097,0.14307,0.79282,0.00839125,0.00839125,0.00839125
67,1886.16,0.3479,0.26128,0.87412,0.99513,0.99364,0.9947,0.9842,0.19763,0.14259,0.79276,0.0083665,0.0083665,0.0083665
68,1914.23,0.35119,0.26186,0.87607,0.99515,0.9926,0.99471,0.98435,0.1981,0.143,0.79273,0.00834175,0.00834175,0.00834175
69,1942.43,0.34926,0.26199,0.875,0.99357,0.9936,0.99471,0.98444,0.19885,0.14238,0.79315,0.008317,0.008317,0.008317
