epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1428.49,0.85554,1.29254,1.99208,0.98962,0.98809,0.99386,0.89688,0.66253,0.79809,1.68629,0.007921,0.007921,0.007921
44,1469.17,0.85414,1.28608,1.99134,0.99382,0.98295,0.99387,0.90904,0.60912,0.76204,1.67755,0.0078715,0.0078715,0.0078715
45,1509.87,0.84482,1.26573,1.97975,0.99212,0.98927,0.9941,0.92771,0.55512,0.74554,1.65577,0.007822,0.007822,0.007822
46,1550.9,0.84714,1.27886,1.98075,0.99183,0.98716,0.99443,0.92438,0.57039,0.73758,1.65549,0.0077725,0.0077725,0.0077725
47,1591.25,0.84157,1.27336,1.97417,0.99258,0.98888,0.99419,0.92608,0.55747,0.72709,1.65871,0.007723,0.007723,0.007723
48,1632.1,0.83669,1.25565,1.96969,0.99237,0.98767,0.99398,0.91686,0.58971,0.73357,1.66161,0.0076735,0.0076735,0.0076735
49,1672.98,0.83104,1.255,1.96982,0.99319,0.98733,0.99411,0.9253,0.56418,0.73374,1.65713,0.007624,0.007624,0.007624
50,1713.45,0.83327,1.26135,1.97682,0.99132,0.98896,0.99425,0.92629,0.56411,0.72415,1.6572,0.0075745,0.0075745,0.0075745
51,1754.75,0.8338,1.25616,1.97741,0.9922,0.98948,0.99421,0.93559,0.53079,0.72177,1.6497,0.007525,0.007525,0.007525
52,1795.38,0.81862,1.23448,1.96501,0.99313,0.98783,0.99418,0.93962,0.51015,0.70511,1.6464,0.0074755,0.0074755,0.0074755
53,1836.2,0.81971,1.23472,1.97144,0.99411,0.986,0.99431,0.93265,0.53541,0.70173,1.64903,0.007426,0.007426,0.007426
54,1878.04,0.82354,1.23368,1.96783,0.99499,0.98844,0.99432,0.92481,0.5601,0.71683,1.65743,0.0073765,0.0073765,0.0073765
55,1919.81,0.81857,1.24228,1.9688,0.99343,0.98664,0.99443,0.93392,0.53789,0.7016,1.65067,0.007327,0.007327,0.007327
56,1961.56,0.82107,1.23093,1.96229,0.99303,0.98734,0.9943,0.92784,0.5533,0.70323,1.65221,0.0072775,0.0072775,0.0072775
57,2003.49,0.82025,1.24004,1.96415,0.99528,0.99023,0.99421,0.92484,0.56516,0.71036,1.6545,0.007228,0.007228,0.007228
