epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1275.71,1.05465,2.07149,2.12114,0.99448,0.97989,0.99384,0.8994,0.66319,1.13054,1.68938,0.00900844,0.00900844,0.00900844
43,1307.36,1.05721,2.08396,2.12378,0.9902,0.98609,0.99352,0.87159,0.78137,1.15534,1.73158,0.00896127,0.00896127,0.00896127
44,1339.04,1.05013,2.07237,2.12091,0.99359,0.98131,0.99373,0.89466,0.6925,1.12697,1.6931,0.00891313,0.00891313,0.00891313
45,1370.87,1.05717,2.07596,2.12598,0.99317,0.98771,0.99428,0.87575,0.76302,1.13619,1.70291,0.00886404,0.00886404,0.00886404
46,1402.42,1.05115,2.08329,2.12102,0.98899,0.98909,0.99428,0.91296,0.6057,1.06645,1.65957,0.00881401,0.00881401,0.00881401
47,1433.96,1.04522,2.05836,2.11752,0.99318,0.98194,0.99411,0.91178,0.61335,1.0847,1.67077,0.00876305,0.00876305,0.00876305
48,1465.71,1.04615,2.06765,2.11378,0.9939,0.98505,0.99413,0.88668,0.69953,1.12392,1.6936,0.00871117,0.00871117,0.00871117
49,1497.28,1.03212,2.01326,2.10349,0.99466,0.98364,0.99421,0.91161,0.61431,1.06951,1.66902,0.00865839,0.00865839,0.00865839
50,1528.93,1.04583,2.03986,2.11452,0.99438,0.98748,0.99399,0.90921,0.62157,1.05006,1.66507,0.00860473,0.00860473,0.00860473
51,1560.79,1.03648,2.02343,2.11037,0.99172,0.98721,0.99434,0.90541,0.64592,1.04584,1.67583,0.00855018,0.00855018,0.00855018
52,1592.59,1.03018,2.00269,2.10312,0.99449,0.98618,0.99421,0.91944,0.58567,1.03407,1.6618,0.00849477,0.00849477,0.00849477
53,1624.27,1.02985,1.99964,2.10385,0.9948,0.98339,0.99412,0.90881,0.63221,1.04453,1.66476,0.00843851,0.00843851,0.00843851
54,1656.19,1.02852,2.01109,2.10623,0.99483,0.9817,0.99421,0.90955,0.6246,1.05277,1.66953,0.00838141,0.00838141,0.00838141
55,1687.63,1.02056,1.98671,2.09929,0.99217,0.98324,0.99413,0.92793,0.56566,1.0063,1.65008,0.00832349,0.00832349,0.00832349
56,1719.21,1.0204,1.99452,2.09614,0.99528,0.98465,0.99436,0.90851,0.63013,1.02761,1.66398,0.00826477,0.00826477,0.00826477
57,1751.09,1.019,1.97355,2.08969,0.9921,0.98692,0.99433,0.91153,0.61538,1.01029,1.65759,0.00820525,0.00820525,0.00820525
58,1782.75,1.01611,1.96898,2.09342,0.99521,0.98439,0.99456,0.90642,0.6346,1.01402,1.66363,0.00814495,0.00814495,0.00814495
59,1814.37,1.00874,1.95459,2.08288,0.99225,0.98899,0.9943,0.92152,0.58236,0.98247,1.64839,0.00808389,0.00808389,0.00808389
60,1846.13,1.00641,1.95968,2.09157,0.99385,0.98818,0.99439,0.91863,0.58446,0.98337,1.6545,0.00802208,0.00802208,0.00802208
61,1877.88,0.99814,1.93697,2.07468,0.99631,0.98677,0.99427,0.91239,0.62358,0.99448,1.66589,0.00795954,0.00795954,0.00795954
62,1909.51,1.00255,1.95195,2.07948,0.99589,0.98649,0.99422,0.91341,0.61195,0.98011,1.65925,0.00789628,0.00789628,0.00789628
63,1941.2,0.99122,1.92094,2.07414,0.99393,0.98829,0.99452,0.92455,0.57905,0.96664,1.65226,0.00783231,0.00783231,0.00783231
64,1972.76,1.00272,1.93621,2.09015,0.99616,0.98643,0.99448,0.91821,0.60845,0.98397,1.66301,0.00776766,0.00776766,0.00776766
65,2004.43,0.99929,1.93327,2.07564,0.99184,0.98951,0.99455,0.91977,0.60103,0.97034,1.65538,0.00770234,0.00770234,0.00770234
66,2036.05,0.99373,1.93086,2.06992,0.99593,0.98659,0.9945,0.92143,0.5929,0.96635,1.65516,0.00763637,0.00763637,0.00763637
67,2067.75,0.98658,1.907,2.07404,0.9945,0.98892,0.99455,0.90947,0.63013,0.98821,1.66135,0.00756976,0.00756976,0.00756976
68,2099.48,0.98315,1.91018,2.05923,0.99558,0.98587,0.99456,0.92128,0.58454,0.95721,1.64763,0.00750252,0.00750252,0.00750252
69,2130.93,0.98179,1.90986,2.07168,0.99507,0.98544,0.99453,0.92507,0.57384,0.94584,1.64138,0.00743468,0.00743468,0.00743468
70,2163.55,0.98526,1.89375,2.07042,0.99311,0.98604,0.99451,0.93107,0.55087,0.93558,1.63915,0.00736625,0.00736625,0.00736625
71,2195.29,0.97509,1.88578,2.05581,0.98908,0.99121,0.99439,0.93346,0.54706,0.9294,1.63828,0.00729725,0.00729725,0.00729725
72,2227.07,0.97688,1.90629,2.06424,0.99129,0.98716,0.99431,0.92631,0.56718,0.94061,1.64177,0.0072277,0.0072277,0.0072277
73,2258.55,0.96899,1.88067,2.05332,0.99314,0.98725,0.99445,0.92809,0.56419,0.93648,1.64162,0.00715761,0.00715761,0.00715761
74,2289.98,0.97006,1.86552,2.04809,0.99313,0.98563,0.99451,0.92965,0.56235,0.93365,1.64228,0.007087,0.007087,0.007087
75,2321.59,0.96907,1.8811,2.05789,0.99606,0.98582,0.99451,0.92566,0.57745,0.93729,1.64613,0.00701588,0.00701588,0.00701588
76,2353.09,0.95857,1.85444,2.04968,0.99561,0.98684,0.99459,0.92576,0.57579,0.93376,1.64627,0.00694428,0.00694428,0.00694428
77,2384.33,0.96477,1.85559,2.05216,0.99304,0.98888,0.99463,0.92584,0.57415,0.92803,1.64474,0.00687222,0.00687222,0.00687222
78,2415.96,0.95721,1.85363,2.04236,0.99158,0.98983,0.99464,0.925,0.57643,0.92796,1.64454,0.0067997,0.0067997,0.0067997
79,2447.47,0.95515,1.85168,2.04763,0.99243,0.99008,0.99468,0.9277,0.57434,0.92987,1.64418,0.00672675,0.00672675,0.00672675
80,2478.84,0.94964,1.85752,2.0444,0.99343,0.98828,0.99465,0.92449,0.58275,0.93238,1.64732,0.00665339,0.00665339,0.00665339
81,2510.42,0.95555,1.85138,2.04683,0.99467,0.9883,0.99472,0.92416,0.58913,0.92962,1.64887,0.00657963,0.00657963,0.00657963
82,2541.78,0.94257,1.81512,2.03811,0.99546,0.98918,0.99475,0.92171,0.595,0.93079,1.64836,0.0065055,0.0065055,0.0065055
83,2573.37,0.94475,1.8201,2.03752,0.99559,0.99003,0.99471,0.92056,0.59418,0.93089,1.64774,0.00643101,0.00643101,0.00643101
84,2604.87,0.93603,1.81943,2.02756,0.99407,0.99114,0.99473,0.92718,0.57424,0.91957,1.64197,0.00635617,0.00635617,0.00635617
85,2636.33,0.94134,1.82044,2.03934,0.99394,0.99054,0.99455,0.92918,0.56653,0.91737,1.6405,0.00628101,0.00628101,0.00628101
86,2667.87,0.94295,1.81842,2.03746,0.99386,0.99079,0.99457,0.92935,0.56242,0.91503,1.63949,0.00620555,0.00620555,0.00620555
87,2699.35,0.93097,1.79882,2.03126,0.99435,0.99039,0.99453,0.92553,0.57182,0.92002,1.64149,0.00612981,0.00612981,0.00612981
88,2730.55,0.94132,1.81067,2.03636,0.99371,0.99057,0.9945,0.92536,0.57292,0.92004,1.64207,0.0060538,0.0060538,0.0060538
89,2761.94,0.93194,1.79688,2.03058,0.99405,0.9902,0.99458,0.92672,0.56627,0.92061,1.64058,0.00597754,0.00597754,0.00597754
90,2793.75,0.92923,1.76672,2.02029,0.99434,0.98981,0.99454,0.92882,0.56281,0.91143,1.63823,0.00590105,0.00590105,0.00590105
91,2825.07,0.91761,1.77329,2.01833,0.9932,0.9905,0.99457,0.93046,0.55833,0.90874,1.63695,0.00582435,0.00582435,0.00582435
92,2856.51,0.92698,1.79153,2.02672,0.99286,0.99116,0.99454,0.93195,0.55519,0.90411,1.63557,0.00574746,0.00574746,0.00574746
93,2888.1,0.91824,1.77825,2.01445,0.99299,0.99125,0.99451,0.93355,0.55058,0.89902,1.63378,0.0056704,0.0056704,0.0056704
94,2919.45,0.91876,1.78377,2.01829,0.99318,0.99091,0.9945,0.93217,0.55428,0.89755,1.63369,0.00559318,0.00559318,0.00559318
95,2950.78,0.91212,1.75444,2.01175,0.99382,0.99036,0.99448,0.93279,0.55187,0.89481,1.63238,0.00551584,0.00551584,0.00551584
96,2982.28,0.91417,1.75075,2.00334,0.99485,0.98961,0.99452,0.93419,0.54795,0.88996,1.63049,0.00543837,0.00543837,0.00543837
97,3013.97,0.9094,1.75683,2.01008,0.99526,0.98952,0.99461,0.93379,0.55425,0.89099,1.63138,0.00536081,0.00536081,0.00536081
98,3045.35,0.89994,1.73008,2.00433,0.99349,0.98973,0.9946,0.9342,0.55275,0.88924,1.63119,0.00528318,0.00528318,0.00528318
99,3076.95,0.90284,1.73388,2.00349,0.99381,0.99027,0.99463,0.9336,0.55294,0.88818,1.63074,0.00520548,0.00520548,0.00520548
100,3108.16,0.90362,1.72769,2.0054,0.99344,0.99019,0.99463,0.93164,0.55772,0.88703,1.63147,0.00512775,0.00512775,0.00512775
101,3139.59,0.90368,1.7185,2.00071,0.99325,0.99137,0.99475,0.9322,0.55644,0.88449,1.6312,0.00505,0.00505,0.00505
102,3170.73,0.89569,1.73146,1.99978,0.99412,0.98982,0.99474,0.93193,0.55771,0.88241,1.6314,0.00497225,0.00497225,0.00497225
103,3201.92,0.88858,1.70591,1.99491,0.99337,0.99081,0.99477,0.93099,0.5591,0.88261,1.63158,0.00489452,0.00489452,0.00489452
104,3233.02,0.89914,1.72056,2.00573,0.99371,0.99066,0.9948,0.93054,0.56216,0.88165,1.63202,0.00481682,0.00481682,0.00481682
105,3263.75,0.88426,1.70375,1.98678,0.99409,0.99077,0.99481,0.93086,0.56159,0.88233,1.63183,0.00473919,0.00473919,0.00473919
106,3294.43,0.88662,1.70701,1.99208,0.99329,0.99088,0.99479,0.93142,0.55933,0.87973,1.63105,0.00466163,0.00466163,0.00466163
107,3324.93,0.88896,1.70691,1.99263,0.99343,0.99074,0.99478,0.93249,0.55811,0.87783,1.63073,0.00458416,0.00458416,0.00458416
108,3355.92,0.88054,1.67603,1.98705,0.99434,0.99035,0.99479,0.93334,0.55678,0.87642,1.6301,0.00450682,0.00450682,0.00450682
109,3386.36,0.88058,1.68747,1.99674,0.99418,0.99055,0.99477,0.93433,0.55365,0.87401,1.62956,0.0044296,0.0044296,0.0044296
110,3416.76,0.87282,1.68566,1.98853,0.99445,0.99077,0.99479,0.93382,0.5513,0.8729,1.62912,0.00435254,0.00435254,0.00435254
